,record,speaker,sessionname,utterances,corpus,age,mlu,morphemes,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,ToAdults?,ClauseMarkers,Subject,Object,Topic,UttGoal,ToAdult?,Followup?,MORPHEMES,Verb,Aux,AuxInvert,InitFunction,PreVFunction,PostVFunction,SFP,Function,filename,start,end,dur,utt
78,83,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-83,186.905,188.096,1191,xxx .
79,84,FAT,130202.cha,嗯 ? ,Tong,"(1, 7, 18)",1.962162162,co|en1=okay ?,,Question,FRAG,Meta,no,,,0,0,,0,0,0,,,,"['co', '?']",0,0,0,0,0,0,1,0,130202-FAT-84,188.096,189.43,1334,嗯 ?
80,85,CHI,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,,,,,,,0,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-CHI-85,189.43,195.035,5605,orange@s .
81,86,CHI,130202.cha,&ou3ye4 .,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-86,195.035,197.598,2563,&ou3ye4 .
82,87,CHI,130202.cha,&ou3ye4 .,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-87,197.598,198.967,1369,&ou3ye4 .
83,88,FAT,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-88,198.967,203.948,4981,orange@s .
84,90,CHI,130202.cha,汽车 . ,Tong,"(1, 7, 18)",1.962162162,n|qi4che1=motor_vehicle .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-90,203.948,210.166,6218,&o1tu3qi .
85,91,CHI,130202.cha,汽车 . ,Tong,"(1, 7, 18)",1.962162162,n|qi4che1=motor_vehicle .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-91,210.166,213.116,2950,汽车 .
86,92,CHI,130202.cha,还 有 汽车 . ,Tong,"(1, 7, 18)",1.962162162,adv|hai2=still v|you3=have n|qi4che1=motor_vehicle .,,,,,,,,0,0,,0,0,0,,,,"['adv', 'v', 'n', '.']",1,0,0,0,0,0,0,0,130202-CHI-92,213.116,215.125,2009,汽车 .
87,94,FAT,130202.cha,躺 下 来 . ,Tong,"(1, 7, 18)",1.962162162,v|tang3=couch v:dirc|xia4=go_down v:dirc|lai2=come .,,Request/Command,Imperative,Negotiating,,,,0,0,ImpNull,0,0,0,,,,"['v', 'v:dirc', 'v:dirc', '.']",1,0,0,0,0,0,0,0,130202-FAT-94,217.119,218.795,1676,躺 下 来 .
88,95,FAT,130202.cha,躺 下 来 . ,Tong,"(1, 7, 18)",1.962162162,v|tang3=couch v:dirc|xia4=go_down v:dirc|lai2=come .,,Request/Command,Imperative,Negotiating,,,,0,0,ImpNull,0,0,0,,,,"['v', 'v:dirc', 'v:dirc', '.']",1,0,0,0,0,0,0,0,130202-FAT-95,218.795,220.348,1553,躺 下 来 .
89,96,CHI,130202.cha,笔 . ,Tong,"(1, 7, 18)",1.962162162,n|bi3=pen .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-96,220.348,221.534,1186,笔 .
90,97,FAT,130202.cha,"嗯 , 录音笔 . ",Tong,"(1, 7, 18)",1.962162162,co|en1=okay cm|cm n|lu4yin1bi3=record_pen .,,Assertion,FRAG,Meta,,,,0,0,,0,0,0,,,,"['co', 'cm', 'n', '.']",0,0,0,0,0,0,0,0,130202-FAT-97,221.534,223.127,1593,"嗯 , 录音笔 ."
91,98,FAT,130202.cha,躺 下 来 . ,Tong,"(1, 7, 18)",1.962162162,v|tang3=couch v:dirc|xia4=go_down v:dirc|lai2=come .,,Request/Command,Imperative,Negotiating,,,,0,0,,0,0,0,,,,"['v', 'v:dirc', 'v:dirc', '.']",1,0,0,0,0,0,0,0,130202-FAT-98,223.127,226.36,3233,躺 下 来 .
92,99,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-99,226.36,233.566,7206,xxx .
93,100,FAT,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,FRAG,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-FAT-100,233.566,234.25,684,xxx .
94,101,CHI,130202.cha,录音笔 . ,Tong,"(1, 7, 18)",1.962162162,n|lu4yin1bi3=record_pen .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-101,234.25,236.57,2320,录音笔 .
95,102,FAT,130202.cha,录音笔 . ,Tong,"(1, 7, 18)",1.962162162,n|lu4yin1bi3=record_pen .,,Assertion,FRAG,Immitation,,,,1,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-FAT-102,236.57,237.627,1057,录音笔 .
96,103,FAT,130202.cha,同同 看 xxx . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|kan4=look .,,Request/Command,Imperative,Attention,,,,1,0,ImpNull,1,0,0,,,,"['n:name', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-103,237.627,239.7,2073,同同 看 xxx .
97,104,FAT,130202.cha,你 看 . ,Tong,"(1, 7, 18)",1.962162162,pro|ni3=you v|kan4=look .,,Request/Command,Imperative,Attention,,,,1,0,ImpNull,1,0,0,,,,"['pro', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-104,239.7,240.477,777,你 看 .
98,105,FAT,130202.cha,嗯 . ,Tong,"(1, 7, 18)",1.962162162,co|en1=okay .,,Assertion,FRAG,Meta,,,,1,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,0,0,130202-FAT-105,240.477,242.002,1525,嗯 .
99,106,FAT,130202.cha,同同 看 . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|kan4=look .,,Request/Command,Imperative,Attention,,,,1,0,ImpNull,1,0,0,,,,"['n:name', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-106,242.002,242.702,700,同同 看 .
100,107,FAT,130202.cha,看 . ,Tong,"(1, 7, 18)",1.962162162,v|kan4=look .,,Request/Command,Imperative,Negotiating,,,,1,0,,0,0,0,,,,"['v', '.']",1,0,0,0,0,0,0,0,130202-FAT-107,242.702,244.446,1744,看 .
101,108,CHI,130202.cha,录音笔 . ,Tong,"(1, 7, 18)",1.962162162,n|lu4yin1bi3=record_pen .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-108,244.446,251.106,6660,录音笔 .
102,109,FAT,130202.cha,你 看 . ,Tong,"(1, 7, 18)",1.962162162,pro|ni3=you v|kan4=look .,,Request/Command,Imperative,Negotiating,,,,1,0,,1,0,0,,,,"['pro', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-109,251.106,252.57,1464,你 看 .
103,110,CHI,130202.cha,录音笔 . ,Tong,"(1, 7, 18)",1.962162162,n|lu4yin1bi3=record_pen .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-110,252.57,254.624,2054,录音笔 .
104,111,FAT,130202.cha,咦 . ,Tong,"(1, 7, 18)",1.962162162,co|yi2=surprise_disapproval .,,Exclamative,FRAG,Attention,,,,0,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,1,0,130202-FAT-111,255.869,261.955,6086,咦 .
105,112,FAT,130202.cha,咦 . ,Tong,"(1, 7, 18)",1.962162162,co|yi2=surprise_disapproval .,,Exclamative,FRAG,Immitation,,,,1,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,1,0,130202-FAT-112,261.955,266.453,4498,咦 .
106,113,FAT,130202.cha,"哟 , 汽车 掉 下 去 了 . ",Tong,"(1, 7, 18)",1.962162162,co|yo1=yelp cm|cm n|qi4che1=motor_vehicle v|diao4=drop v:dirc|xia4=go_down v:dirc|qu4=go sfp|le .,,Assertion,Declarative,Discussing,,,,0,0,,1,0,0,,,,"['co', 'cm', 'n', 'v', 'v:dirc', 'v:dirc', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-113,266.453,269.146,2693,"哟 , 汽车 掉 下 去 了 ."
107,114,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-114,269.146,272.56,3414,xxx .
108,115,CHI,130202.cha,对不起 [?] . ,Tong,"(1, 7, 18)",1.962162162,v|dui4bu4qi3=sorry .,,,,,,,,0,0,,0,0,0,,,,"['v', '.']",1,0,0,0,0,0,0,0,130202-CHI-115,272.56,276.134,3574,对不起 [?] .
109,116,FAT,130202.cha,哎呦哟 . ,Tong,"(1, 7, 18)",1.962162162,co|ai1you1yo1=ouch .,,Exclamative,FRAG,Emoting,,,,0,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,1,0,130202-FAT-116,275.899,286.187,10288,哎呦哟 .
110,117,CHI,130202.cha,录音笔 . ,Tong,"(1, 7, 18)",1.962162162,n|lu4yin1bi3=record_pen .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-117,288.187,290.979,2792,录音笔 .
111,118,CHI,130202.cha,&=laughs . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-118,290.979,305.5,14521,&=laughs .
112,119,FAT,130202.cha,绳子 . ,Tong,"(1, 7, 18)",1.962162162,n|sheng2zi=rope .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-FAT-119,305.5,307.167,1667,绳子 .
113,120,FAT,130202.cha,哟 . ,Tong,"(1, 7, 18)",1.962162162,co|yo1=yelp .,,Exclamative,FRAG,Emoting,,,,0,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,1,0,130202-FAT-120,307.167,315.8,8633,哟 .
114,121,CHI,130202.cha,&=laughs . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-121,315.976,317.54,1564,&=laughs .
115,122,FAT,130202.cha,0 .,Tong,"(1, 7, 18)",1.962162162,claps hands,,Exclamative,FRAG,Emoting,,,,1,0,,0,0,0,,,,"['claps', 'hands']",0,0,0,0,0,0,0,0,130202-FAT-122,317.54,319.478,1938,0 .
116,123,MOT,130202.cha,别 搞 我 . ,Tong,"(1, 7, 18)",1.962162162,adv|bie2=dont v|gao3=work pro|wo3=I .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpBie,0,0,0,,,,"['adv', 'v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-MOT-123,321.252,343.477,22225,别 搞 我 .
117,124,CHI,130202.cha,&za1 呀 .,Tong,"(1, 7, 18)",1.962162162,sfp|ya .,,,,,,,,0,0,,0,0,0,,,,"['sfp', '.']",0,0,0,0,0,0,1,0,130202-CHI-124,343.477,347.148,3671,&za1 呀 .
118,125,MOT,130202.cha,别 抓 我 . ,Tong,"(1, 7, 18)",1.962162162,adv|bie2=dont v|zhua1=catch pro|wo3=I .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpBie,0,0,0,,,,"['adv', 'v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-MOT-125,347.148,359.942,12794,别 抓 我 .
119,126,MOT,130202.cha,同同 干吗 抓 我 ? ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong pro:wh|gan4ma2=what_to_do v|zhua1=catch pro|wo3=I ?,,Assertion,Interrogative,Discussing,,Wh,,1,0,IntWh,1,1,0,,,,"['n:name', 'pro:wh', 'v', 'pro', '?']",1,0,0,0,1,0,0,1,130202-MOT-126,359.942,362.883,2941,同同 干吗 抓 我 ?
120,127,MOT,130202.cha,别 抓 我 . ,Tong,"(1, 7, 18)",1.962162162,adv|bie2=dont v|zhua1=catch pro|wo3=I .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpBie,0,1,0,,,,"['adv', 'v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-MOT-127,362.883,365.763,2880,别 抓 我 .
121,128,MOT,130202.cha,妈妈 睡觉 . ,Tong,"(1, 7, 18)",1.962162162,n:relat|ma1&DIM=mother v|shui4jiao4=sleep .,,Assertion,Declarative,Negotiating,,,,1,0,,1,0,0,,,,"['n:relat', 'v', '.']",1,0,0,0,0,0,0,0,130202-MOT-128,365.763,367.957,2194,妈妈 睡觉 .
122,129,MOT,130202.cha,别 吵 我 . ,Tong,"(1, 7, 18)",1.962162162,adv|bie2=dont v|chao3=quarrel pro|wo3=I .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpBie,0,1,0,,,,"['adv', 'v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-MOT-129,367.957,370.121,2164,别 吵 我 .
123,130,MOT,130202.cha,"哎呦 , 同同 也 要 睡觉 . ",Tong,"(1, 7, 18)",1.962162162,on|ai1yo=ouch cm|cm n:name|tong2tong adv|ye3=also v:aux|yao4=should v|shui4jiao4=sleep .,,Assertion,Declarative,Discussing,,,,1,0,,1,0,0,,,,"['on', 'cm', 'n:name', 'adv', 'v:aux', 'v', '.']",1,1,0,0,0,0,0,0,130202-MOT-130,370.121,373.887,3766,"哎呦 , 同同 也 要 睡觉 ."
124,131,MOT,130202.cha,揉 眼睛 了 . ,Tong,"(1, 7, 18)",1.962162162,v|rou2=rub n|yan3jing1=eye sfp|le .,,Assertion,FRAG,Discussing,,,,0,1,,0,1,0,,,,"['v', 'n', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-MOT-131,373.887,374.9,1013,揉 眼睛 了 .
125,132,FAT,130202.cha,同同 躺 下 来 . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|tang3=couch v:dirc|xia4=go_down v:dirc|lai2=come .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpNull,1,0,0,,,,"['n:name', 'v', 'v:dirc', 'v:dirc', '.']",1,0,0,0,0,0,0,0,130202-FAT-132,374.9,377.762,2862,同同 躺 下 来 .
126,133,FAT,130202.cha,爸爸 给 你 讲 故事 好 不 好 ? ,Tong,"(1, 7, 18)",1.962162162,n:relat|ba4&DIM=father prep|gei3=for pro|ni3=you v|jiang3=speak n|gu4shi4=story adj|hao3=good neg|bu4=not adj|hao3=good ?,,Question,Interrogative,Negotiating,no,Polar,,0,0,IntAnotA,1,1,0,,,,"['n:relat', 'prep', 'pro', 'v', 'n', 'adj', 'neg', 'adj', '?']",1,0,0,0,0,0,0,0,130202-FAT-133,377.762,379.583,1821,爸爸 给 你 讲 故事 好 不 好 ?
127,134,FAT,130202.cha,躺 下 来 . ,Tong,"(1, 7, 18)",1.962162162,v|tang3=couch v:dirc|xia4=go_down v:dirc|lai2=come .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpNull,0,0,0,,,,"['v', 'v:dirc', 'v:dirc', '.']",1,0,0,0,0,0,0,0,130202-FAT-134,379.583,381.777,2194,躺 下 来 .
128,135,FAT,130202.cha,躺 到 这里 来 . ,Tong,"(1, 7, 18)",1.962162162,v|tang3=couch v:resc|dao4=get post|zhe4li3=here v|lai2=come .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpNull,0,0,0,,,,"['v', 'v:resc', 'post', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-135,381.777,386.993,5216,躺 到 这里 来 .
129,136,CHI,130202.cha,我 还 要 汽车 . ,Tong,"(1, 7, 18)",1.962162162,pro|wo3=I adv|hai2=still v|yao4=want_wish_to n|qi4che1=motor_vehicle .,,,,,,,,0,0,,0,0,0,,,,"['pro', 'adv', 'v', 'n', '.']",1,0,0,0,0,0,0,0,130202-CHI-136,386.993,390.842,3849,我 还 要 汽车 .
130,137,FAT,130202.cha,都 在 这 都 在 这 . ,Tong,"(1, 7, 18)",1.962162162,adv|dou1=all v|zai4=at pro|zhe4=this adv|dou1=all v|zai4=at pro|zhe4=this .,,Assertion,Declarative,Discussing,,,,0,0,,0,1,0,,,,"['adv', 'v', 'pro', 'adv', 'v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-FAT-137,390.842,392.22,1378,都 在 这 都 在 这 .
131,138,FAT,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,Other,Other,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-FAT-138,392.22,400.0,7780,xxx .
132,139,FAT,130202.cha,<这 这 这 这> [/] 这 . ,Tong,"(1, 7, 18)",1.962162162,pro|zhe4=this .,,Assertion,FRAG,Attention,,,,0,0,,0,0,0,,,,"['pro', '.']",0,0,0,0,0,0,0,0,130202-FAT-139,400.0,404.066,4066,<这 这 这 这> [/] 这 .
133,140,CHI,130202.cha,&=coughs . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-140,404.066,410.074,6008,&=coughs .
134,141,FAT,130202.cha,有 痰 啊 ? ,Tong,"(1, 7, 18)",1.962162162,v|you3=have n|tan2=phlegm sfp|a1 ?,,Question,Declarative,Negotiating,no,,,0,0,,0,1,0,,,,"['v', 'n', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-141,410.074,414.432,4358,有 痰 啊 ?
135,142,FAT,130202.cha,啊 ? ,Tong,"(1, 7, 18)",1.962162162,co|a1=uh ?,,Question,FRAG,Meta,no,,,0,0,,0,0,0,,,,"['co', '?']",0,0,0,0,0,0,1,0,130202-FAT-142,414.432,415.817,1385,啊 ?
136,143,FAT,130202.cha,咳嗽 有 痰 对 吗 ? ,Tong,"(1, 7, 18)",1.962162162,v|ke2sou4=cough v|you3=have n|tan2=phlegm adj|dui4=correct sfp|ma ?,,Question,Interrogative,Negotiating,no,Polar,,1,0,IntMa,1,1,0,,,,"['v', 'v', 'n', 'adj', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-143,415.817,417.55,1733,咳嗽 有 痰 对 吗 ?
137,144,CHI,130202.cha,嗯 . ,Tong,"(1, 7, 18)",1.962162162,co|en1=okay .,,,,,,,,1,0,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,0,0,130202-CHI-144,417.55,418.804,1254,嗯 .
138,145,FAT,130202.cha,"等会 再 吃 药 , 好 吗 ? ",Tong,"(1, 7, 18)",1.962162162,v|deng3hui4=wait_for_a_while adv|zai4=again v|chi1=eat n|yao4=medicine cm|cm adj|hao3=good sfp|ma ?,,Question,Declarative,Negotiating,no,,,1,0,,0,1,0,,,,"['v', 'adv', 'v', 'n', 'cm', 'adj', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-145,418.804,420.892,2088,"等会 再 吃 药 , 好 吗 ?"
139,146,FAT,130202.cha,嗯 ? ,Tong,"(1, 7, 18)",1.962162162,co|en1=okay ?,,Question,FRAG,Meta,no,,,1,0,,0,0,0,,,,"['co', '?']",0,0,0,0,0,0,0,0,130202-FAT-146,420.892,422.323,1431,嗯 ?
140,147,FAT,130202.cha,等会 吃 药 啊 . ,Tong,"(1, 7, 18)",1.962162162,v|deng3hui4=wait_for_a_while v|chi1=eat n|yao4=medicine sfp|a1 .,,Assertion,Imperative,Negotiating,,,,1,0,,0,1,0,,,,"['v', 'v', 'n', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-147,422.323,424.487,2164,等会 吃 药 啊 .
141,148,FAT,130202.cha,"同同 , orange@s . ",Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong cm|cm L2|orange .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['n:name', 'cm', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-148,424.487,436.252,11765,"同同 , orange@s ."
142,149,FAT,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-149,436.252,438.679,2427,orange@s .
143,150,FAT,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-150,438.679,441.8,3121,orange@s .
144,151,CHI,130202.cha,&ge . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,1,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-151,441.8,443.0,1200,&ge .
145,152,FAT,130202.cha,red@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|red L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-152,443.0,444.27,1270,red@s car@s .
146,153,CHI,130202.cha,&rai . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,1,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-153,444.27,445.5,1230,&rai .
147,154,FAT,130202.cha,red@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|red L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-154,445.5,446.772,1272,red@s car@s .
148,155,CHI,130202.cha,&rai . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,1,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-155,446.772,448.11,1338,&rai .
149,156,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,!!!,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-156,448.11,449.668,1558,blue@s car@s .
150,157,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-157,449.668,452.644,2976,blue@s car@s .
151,158,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-158,452.644,456.013,3369,blue@s car@s .
152,159,FAT,130202.cha,懂 吗 ? ,Tong,"(1, 7, 18)",1.962162162,v|dong3=understand sfp|ma ?,,Question,Interrogative,Meta,no,Polar,,1,0,IntMa,0,0,0,,,,"['v', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-159,456.013,457.7,1687,懂 吗 ?
153,160,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-160,457.9,459.037,1137,blue@s car@s .
154,161,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-161,459.037,461.387,2350,blue@s car@s .
155,162,FAT,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,Other,Other,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-FAT-162,461.387,479.0,17613,xxx .
156,163,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-163,479.0,483.69,4690,xxx .
157,164,FAT,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,the father murmured,,Other,Other,,,,,0,0,,0,0,0,,,,"['the', 'father', 'murmured']",0,0,0,0,0,0,0,0,130202-FAT-164,482.957,497.743,14786,xxx .
158,166,CHI,130202.cha,汽车 呀 ? ,Tong,"(1, 7, 18)",1.962162162,n|qi4che1=motor_vehicle sfp|ya ?,,,,,,,,0,0,,0,0,0,,,,"['n', 'sfp', '?']",0,0,0,0,0,0,1,0,130202-CHI-166,497.743,502.255,4512,汽车 呀 ?
159,170,FAT,130202.cha,在 这 . ,Tong,"(1, 7, 18)",1.962162162,v|zai4=at pro|zhe4=this .,,Assertion,Declarative,Attention,,,,1,0,,0,1,0,,,,"['v', 'pro', '.']",1,0,0,0,0,0,0,0,130202-FAT-170,507.406,507.9,494,在 这 .
160,171,FAT,130202.cha,在 这 呢 . ,Tong,"(1, 7, 18)",1.962162162,v|zai4=at pro|zhe4=this sfp|ne .,,Assertion,Declarative,Attention,,,,1,0,,0,1,0,,,,"['v', 'pro', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-171,507.9,508.0,100,在 这 呢 .
161,172,FAT,130202.cha,在 这 啊 . ,Tong,"(1, 7, 18)",1.962162162,v|zai4=at pro|zhe4=this sfp|a1 .,,Assertion,Declarative,Attention,,,,1,0,,0,1,0,,,,"['v', 'pro', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-172,508.0,510.0,2000,在 这 啊 .
162,173,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-173,513.514,514.0,486,xxx .
163,174,FAT,130202.cha,"同同 , 睡 醒 了 没 有 啊 ? ",Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong cm|cm v|shui4=sleep v:resc|xing3=waken asp|le=perfective neg|mei2=not v|you3=have sfp|a1 ?,,Question,Interrogative,Negotiating,no,Polar,,0,0,IntAnotA,0,0,0,,,,"['n:name', 'cm', 'v', 'v:resc', 'asp', 'neg', 'v', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-174,514.0,517.352,3352,"同同 , 睡 醒 了 没 有 啊 ?"
164,175,FAT,130202.cha,啊 ? ,Tong,"(1, 7, 18)",1.962162162,co|a1=uh ?,,Question,FRAG,Meta,no,,,0,0,,0,0,0,,,,"['co', '?']",0,0,0,0,0,0,1,0,130202-FAT-175,517.352,518.612,1260,啊 ?
165,176,FAT,130202.cha,"哎 , 打 自己 的 头 干吗 啊 ? ",Tong,"(1, 7, 18)",1.962162162,co|ai1 cm|cm v|da3=hit pro|zi4ji3=self poss|de n|tou2=head pro:wh|gan4ma2=what_to_do sfp|a1 ?,,Question,Interrogative,Negotiating,no,Wh,,0,0,IntWh,0,1,0,,,,"['co', 'cm', 'v', 'pro', 'poss', 'n', 'pro:wh', 'sfp', '?']",1,0,0,0,0,1,1,1,130202-FAT-176,518.612,524.355,5743,"哎 , 打 自己 的 头 干吗 啊 ?"
166,177,FAT,130202.cha,不 打 . ,Tong,"(1, 7, 18)",1.962162162,neg|bu4=not v|da3=hit .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpNull,0,0,0,,,,"['neg', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-177,524.355,528.0,3645,不 打 .
